AdventureWorks2012,Sales         ,vStoreWithContacts               ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,ContactType                   ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,Title                         ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,FirstName                     ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,MiddleName                    ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,LastName                      ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,Suffix                        ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,PhoneNumber                   ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,PhoneNumberType               ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,EmailAddress                  ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithContacts               ,EmailPromotion                ,integer,
AdventureWorks2012,Production    ,ScrapReason                      ,ScrapReasonID                 ,smallint,
AdventureWorks2012,Production    ,ScrapReason                      ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,AddressType                   ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,AddressLine1                  ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,AddressLine2                  ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,City                          ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,StateProvinceName             ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,PostalCode                    ,nvarchar,
AdventureWorks2012,Sales         ,vStoreWithAddresses              ,CountryRegionName             ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,BusinessEntityID              ,integer,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,ContactType                   ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,Title                         ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,FirstName                     ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,MiddleName                    ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,LastName                      ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,Suffix                        ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,PhoneNumber                   ,nvarchar,
